Book_Name,Star_rating,Price,Availablity
Where She Went (If ...,Four,£41.73,In stock
What If?: Serious Scientific ...,Four,£53.68,In stock
Two Summers,One,£14.64,In stock
This Is Your Brain ...,One,£38.40,In stock
The Secret Garden,Four,£15.08,In stock
The Raven King (The ...,Two,£30.57,In stock
The Raven Boys (The ...,Four,£57.74,In stock
The Power Greens Cookbook: ...,Five,£11.05,In stock
The Metamorphosis,One,£28.58,In stock
The Mathews Men: Seven ...,Five,£42.91,In stock
The Little Paris Bookshop,Three,£24.73,In stock
The Hiding Place,Four,£55.91,In stock
The Grand Design,Three,£13.76,In stock
The Firm,Three,£45.56,In stock
The Fault in Our ...,One,£47.22,In stock
The False Prince (The ...,Five,£56.00,In stock
The Expatriates,Two,£44.58,In stock
The Dream Thieves (The ...,One,£34.50,In stock
The Darkest Corners,Five,£11.33,In stock
The Crossover,Four,£38.77,In stock
The 5th Wave (The ...,Two,£11.83,In stock
Tell the Wind and ...,Three,£45.51,In stock
Tell Me Three Things,One,£41.81,In stock
Talking to Girls About ...,Four,£25.15,In stock
Siddhartha,Five,£34.22,In stock
Shiver (The Wolves of ...,Five,£16.23,In stock
Remember Me?,Three,£11.48,In stock
Red Dragon (Hannibal Lecter ...,Three,£23.37,In stock
Peak: Secrets from the ...,Two,£16.28,In stock
My Mother Was Nuts,Four,£31.63,In stock
Mexican Today: New and ...,Five,£24.91,In stock
Maybe Something Beautiful: How ...,One,£22.54,In stock
Lola and the Boy ...,Four,£23.63,In stock
Logan Kade (Fallen Crest ...,Two,£13.12,In stock
Last One Home (New ...,Three,£59.98,In stock
Killing Floor (Jack Reacher ...,Four,£31.49,In stock
Kill the Boy Band,Five,£15.52,In stock
Isla and the Happily ...,Five,£48.13,In stock
If I Stay (If ...,Five,£38.13,In stock
I Know Why the ...,Two,£36.55,In stock
Harry Potter and the ...,One,£23.32,In stock
"Fruits Basket, Vol. 5 ...",One,£16.33,In stock
Foundation (Foundation (Publication Order) ...,One,£32.42,In stock
Fool Me Once,One,£16.96,In stock
Find Her (Detective D.D. ...,One,£22.37,In stock
Evicted: Poverty and Profit ...,One,£42.27,In stock
Drama,Two,£38.70,In stock
Dracula the Un-Dead,Five,£35.63,In stock
Digital Fortress,Five,£58.00,In stock
"Death Note, Vol. 5: ...",One,£52.41,In stock
"Data, A Love Story: ...",Three,£32.35,In stock
Critique of Pure Reason,One,£20.75,In stock
Booked,Five,£17.49,In stock
"Blue Lily, Lily Blue ...",Five,£34.13,In stock
Approval Junkie: Adventures in ...,Five,£58.81,In stock
An Abundance of Katherines,Five,£10.00,In stock
America's War for the ...,Two,£51.22,In stock
Alight (The Generations Trilogy ...,Four,£58.59,In stock
A Girl's Guide to ...,One,£31.30,In stock
A Game of Thrones ...,Two,£46.42,In stock
A Feast for Crows ...,Four,£17.21,In stock
A Clash of Kings ...,Three,£10.79,In stock
Vogue Colors A to ...,Four,£52.35,In stock
The Shining (The Shining ...,Three,£27.88,In stock
The Pilgrim's Progress,Two,£50.26,In stock
The Perfect Play (Play ...,Three,£59.99,In stock
The Passion of Dolssa,Five,£28.32,In stock
The Jazz of Physics: ...,Three,£38.71,In stock
The Hunger Games (The ...,Five,£29.85,In stock
The Hound of the ...,Two,£14.82,In stock
The Gunning of America: ...,Four,£16.81,In stock
The Geography of Bliss: ...,Two,£28.23,In stock
The Demonists (Demonist #1),Two,£52.11,In stock
The Demon Prince of ...,Two,£27.88,In stock
The Bone Hunters (Lexy ...,Three,£59.71,In stock
The Beast (Black Dagger ...,Five,£46.08,In stock
Some Women,Five,£13.73,In stock
Shopaholic Ties the Knot ...,Five,£48.39,In stock
Paper and Fire (The ...,Five,£49.45,In stock
Outlander (Outlander #1),Five,£19.67,In stock
Orchestra of Exiles: The ...,Three,£12.36,In stock
No One Here Gets ...,Five,£20.02,In stock
Night Shift (Night Shift ...,Four,£12.75,In stock
Needful Things,Four,£47.51,In stock
Mockingjay (The Hunger Games ...,Four,£20.44,In stock
Misery,Two,£34.79,In stock
Little Women (Little Women ...,Four,£28.07,In stock
It,Three,£25.01,In stock
Harry Potter and the ...,Three,£13.90,In stock
Harry Potter and the ...,Four,£24.17,In stock
Harry Potter and the ...,Four,£31.63,In stock
Harry Potter and the ...,Five,£48.75,In stock
Harry Potter and the ...,One,£14.74,In stock
Gone with the Wind,Three,£32.49,In stock
God Is Not Great: ...,One,£27.80,In stock
Girl With a Pearl ...,One,£26.77,In stock
"Fruits Basket, Vol. 4 ...",Four,£50.44,In stock
Far From True (Promise ...,Two,£34.93,In stock
Dark Lover (Black Dagger ...,One,£12.87,In stock
Confessions of a Shopaholic ...,Two,£48.94,In stock
Changing the Game (Play ...,Three,£13.38,In stock
Candide,Three,£58.63,In stock
Can You Keep a ...,One,£21.94,In stock
Atlas Shrugged,Five,£26.58,In stock
Animal Farm,Three,£57.22,In stock
A Walk to Remember,One,£56.43,In stock
A New Earth: Awakening ...,Five,£55.65,In stock
A History of God: ...,One,£27.62,In stock
'Salem's Lot,Four,£49.56,In stock
Zero History (Blue Ant ...,One,£34.77,In stock
Wuthering Heights,Three,£17.73,In stock
World War Z: An ...,One,£21.80,In stock
Wild: From Lost to ...,Three,£46.02,In stock
"Where'd You Go, Bernadette",One,£18.13,In stock
When You Are Engulfed ...,Five,£30.89,In stock
We the People: The ...,Three,£31.95,In stock
We Are All Completely ...,One,£24.04,In stock
Walk the Edge (Thunder ...,Three,£32.36,In stock
Voyager (Outlander #3),Five,£21.07,In stock
Very Good Lives: The ...,Three,£50.66,In stock
Vegan Vegetarian Omnivore: Dinner ...,Two,£13.66,In stock
"Unstuffed: Decluttering Your Home, ...",One,£58.09,In stock
Under the Banner of ...,One,£30.00,In stock
Two Boys Kissing,Two,£32.74,In stock
Twilight (Twilight #1),Two,£41.93,In stock
Twenties Girl,Two,£42.80,In stock
Trespassing Across America: One ...,One,£53.51,In stock
Three-Martini Lunch,Three,£23.21,In stock
"Thinking, Fast and Slow",One,£21.14,In stock
The Wild Robot,Three,£56.07,In stock
The Wicked + The ...,Three,£14.41,In stock
The Undomestic Goddess,Four,£45.75,In stock
The Travelers,One,£15.77,In stock
The Tipping Point: How ...,Two,£10.02,In stock
The Thing About Jellyfish,One,£48.77,In stock
The Stand,Two,£57.86,In stock
The Smitten Kitchen Cookbook,One,£23.59,In stock
The Silkworm (Cormoran Strike ...,Five,£23.05,In stock
"The Sandman, Vol. 3: ...",Five,£55.55,In stock
The Rose & the ...,Four,£58.64,In stock
The Road to Little ...,One,£23.21,In stock
The Rise of Theodore ...,Three,£42.57,In stock
The Restaurant at the ...,One,£10.92,In stock
The Rest Is Noise: ...,One,£34.77,In stock
The Red Tent,Five,£35.66,In stock
The Purpose Driven Life: ...,Three,£37.19,In stock
The Purest Hook (Second ...,One,£12.25,In stock
The Picture of Dorian ...,Two,£29.70,In stock
The Paris Wife,Three,£36.80,In stock
The Obsession,One,£45.43,In stock
The Nightingale,Four,£26.26,In stock
The New Guy (and ...,Three,£44.92,In stock
The Nanny Diaries (Nanny ...,Five,£52.53,In stock
The Name of God ...,Two,£37.25,In stock
The Maze Runner (The ...,One,£20.93,In stock
The Lover's Dictionary,Two,£58.09,In stock
The Lonely Ones,Five,£43.59,In stock
The Lean Startup: How ...,Three,£33.92,In stock
The Last Painting of ...,Two,£55.55,In stock
"The Land of 10,000 ...",Four,£29.64,In stock
The Infinities,One,£27.41,In stock
The Husband's Secret,Five,£52.51,In stock
The Hitchhiker's Guide to ...,Three,£47.80,In stock
The Guns of August,Two,£14.54,In stock
The Guernsey Literary and ...,One,£49.53,In stock
The Goldfinch,Three,£43.58,In stock
The Giver (The Giver ...,One,£12.30,In stock
The Girl with All ...,Three,£49.47,In stock
The Girl Who Played ...,Two,£22.14,In stock
The Girl Who Kicked ...,One,£57.48,In stock
The Exiled,Three,£43.45,In stock
The End of Faith: ...,Four,£22.13,In stock
"The Elegant Universe: Superstrings, ...",Four,£13.03,In stock
The Disappearing Spoon: And ...,Five,£57.35,In stock
The Devil Wears Prada ...,One,£44.29,In stock
The Demon-Haunted World: Science ...,Four,£52.25,In stock
The Day the Crayons ...,Five,£26.33,In stock
The Da Vinci Code ...,Two,£22.96,In stock
The Cuckoo's Calling (Cormoran ...,One,£19.21,In stock
The Complete Stories and ...,Four,£26.78,In stock
The Complete Poems,Five,£41.32,In stock
The Catcher in the ...,One,£24.55,In stock
The Cat in the ...,Two,£16.26,In stock
The Case for Christ ...,One,£47.84,In stock
The Book Thief,Two,£53.49,In stock
The Book of Basketball: ...,Five,£44.84,In stock
The Blind Side: Evolution ...,Five,£53.71,In stock
The Autobiography of Malcolm ...,Two,£23.43,In stock
The Art of Simple ...,Three,£34.32,In stock
The Art of Fielding,One,£22.10,In stock
"Surely You're Joking, Mr. ...",Two,£25.83,In stock
Stiff: The Curious Lives ...,Three,£36.74,In stock
Spilled Milk: Based on ...,One,£49.51,In stock
Something Borrowed (Darcy & ...,Five,£48.96,In stock
Something Blue (Darcy & ...,One,£54.62,In stock
Soldier (Talon #3),Two,£24.72,In stock
Shopaholic & Baby (Shopaholic ...,Two,£46.45,In stock
Seven Days in the ...,Two,£52.33,In stock
Seven Brief Lessons on ...,Four,£30.60,In stock
Scarlet (The Lunar Chronicles ...,Four,£14.57,In stock
Sarah's Key,One,£46.29,In stock
"Saga, Volume 3 (Saga ...",Five,£21.57,In stock
Running with Scissors,Four,£12.91,In stock
Rogue Lawyer (Rogue Lawyer ...,Three,£50.11,In stock
Rise of the Rocket ...,Four,£41.67,In stock
Rework,Two,£44.88,In stock
Reservations for Two,Three,£11.10,In stock
Red: The True Story ...,Three,£28.54,In stock
Ready Player One,Four,£19.07,In stock
Quiet: The Power of ...,One,£43.55,In stock
Prodigy: The Graphic Novel ...,Three,£43.63,In stock
Persepolis: The Story of ...,One,£39.13,In stock
Packing for Mars: The ...,Two,£56.68,In stock
Outliers: The Story of ...,One,£14.16,In stock
Original Fake,Three,£31.45,In stock
Orange Is the New ...,Two,£24.61,In stock
One for the Money ...,Two,£32.87,In stock
Notes from a Small ...,One,£40.17,In stock
Night (The Night Trilogy ...,One,£13.51,In stock
Neither Here nor There: ...,Three,£38.95,In stock
Naked,Three,£31.69,In stock
Morning Star (Red Rising ...,One,£29.40,In stock
Miracles from Heaven: A ...,One,£57.83,In stock
Midnight Riot (Peter Grant/ ...,Two,£55.46,In stock
Me Talk Pretty One ...,Two,£57.60,In stock
Manuscript Found in Accra,Two,£34.98,In stock
Lust & Wonder,Two,£11.87,In stock
Lila (Gilead #3),Three,£12.47,In stock
"Life, the Universe and ...",Two,£33.26,In stock
Life Without a Recipe,Five,£59.04,In stock
Life After Life,Two,£26.13,In stock
Letter to a Christian ...,One,£22.20,In stock
Let's Pretend This Never ...,One,£45.11,In stock
Legend (Legend #1),Four,£43.69,In stock
"Lean In: Women, Work, ...",One,£25.02,In stock
Lamb: The Gospel According ...,Five,£55.50,In stock
Lady Renegades (Rebel Belle ...,Five,£53.04,In stock
Jurassic Park (Jurassic Park ...,One,£44.97,In stock
It's Never Too Late ...,One,£42.38,In stock
Is Everyone Hanging Out ...,Three,£20.11,In stock
Into the Wild,Five,£56.70,In stock
Inferno (Robert Langdon #4),Five,£41.00,In stock
In the Garden of ...,Three,£28.85,In stock
If I Run (If ...,Four,£49.97,In stock
I've Got Your Number,One,£19.69,In stock
I Am Malala: The ...,Two,£28.88,In stock
Hungry Girl Clean & ...,Three,£33.14,In stock
House of Lost Worlds: ...,Two,£43.70,In stock
House of Leaves,One,£54.89,In stock
Horrible Bear!,Two,£37.52,In stock
Holidays on Ice,Two,£51.07,In stock
Heir to the Sky,Four,£44.07,In stock
Green Eggs and Ham ...,Four,£10.79,In stock
"Grayson, Vol 3: Nemesis ...",One,£42.72,In stock
Gratitude,Five,£26.66,In stock
Gone Girl,Five,£37.60,In stock
Golden (Heart of Dread ...,Four,£42.21,In stock
Girl in the Blue ...,Two,£46.83,In stock
"Fruits Basket, Vol. 3 ...",Two,£45.17,In stock
Friday Night Lights: A ...,Three,£51.22,In stock
Fire Bound (Sea Haven/Sisters ...,Four,£21.28,In stock
Fifty Shades Freed (Fifty ...,Five,£15.36,In stock
Fellside,One,£38.62,In stock
Extreme Prey (Lucas Davenport ...,Three,£25.40,In stock
Eragon (The Inheritance Cycle ...,Three,£43.87,In stock
Eclipse (Twilight #3),One,£18.74,In stock
Dune (Dune #1),One,£54.86,In stock
Dracula,Three,£52.62,In stock
Do Androids Dream of ...,One,£51.48,In stock
Disrupted: My Misadventure in ...,Five,£15.28,In stock
Dead Wake: The Last ...,Five,£39.24,In stock
"David and Goliath: Underdogs, ...",One,£17.81,In stock
Darkfever (Fever #1),One,£56.02,In stock
Dark Places,Five,£23.90,In stock
Crazy Rich Asians (Crazy ...,Five,£49.13,In stock
Counting Thyme,One,£10.62,In stock
Cosmos,Two,£36.17,In stock
Civilization and Its Discontents,Two,£59.95,In stock
Cinder (The Lunar Chronicles ...,One,£26.09,In stock
Catastrophic Happiness: Finding Joy ...,Two,£37.35,In stock
Career of Evil (Cormoran ...,Two,£24.72,In stock
Breaking Dawn (Twilight #4),Five,£35.28,In stock
Brave Enough,Five,£51.32,In stock
Boy Meets Boy,Three,£21.12,In stock
Born to Run: A ...,Two,£27.35,In stock
Blink: The Power of ...,Five,£21.74,In stock
Black Flags: The Rise ...,One,£40.87,In stock
"Black Butler, Vol. 1 ...",One,£49.31,In stock
Big Little Lies,One,£22.11,In stock
Between Shades of Gray,Five,£20.79,In stock
Best of My Love ...,Two,£27.41,In stock
Beowulf,Two,£38.35,In stock
Beautiful Creatures (Caster Chronicles ...,Five,£21.55,In stock
Awkward,Two,£38.02,In stock
Ash,Four,£22.06,In stock
Are We There Yet?,Three,£10.66,In stock
Are We Smart Enough ...,One,£56.58,In stock
Annie on My Mind,Five,£36.83,In stock
And Then There Were ...,Two,£35.01,In stock
A Walk in the ...,Four,£30.48,In stock
A Visit from the ...,Five,£14.08,In stock
A Storm of Swords ...,Two,£31.22,In stock
A Heartbreaking Work of ...,Five,£54.29,In stock
8 Keys to Mental ...,One,£31.04,In stock
#GIRLBOSS,One,£50.96,In stock
The Suffragettes (Little Black ...,Two,£11.89,In stock
The Sense of an ...,Three,£31.38,In stock
"The Sandman, Vol. 2: ...",One,£54.81,In stock
The Course of Love,Three,£16.78,In stock
Sugar Rush (Offensive Line ...,One,£24.42,In stock
"Saga, Volume 2 (Saga ...",Three,£11.75,In stock
"Run, Spot, Run: The ...",One,£20.02,In stock
New Moon (Twilight #2),Four,£12.86,In stock
Life,Five,£31.58,In stock
Kindle Paperwhite User's Guide,Three,£34.00,In stock
H is for Hawk,Five,£57.42,In stock
Girl Online On Tour ...,One,£53.47,In stock
"Fruits Basket, Vol. 2 ...",Five,£11.64,In stock
Diary of a Minecraft ...,Four,£52.88,In stock
"Y: The Last Man, ...",Four,£18.51,In stock
While You Were Mine,Five,£41.32,In stock
Where Lightning Strikes (Bleeding ...,Three,£39.77,In stock
When I'm Gone,Three,£51.96,In stock
Ways of Seeing,Five,£39.51,In stock
"Vampire Knight, Vol. 1 ...",One,£15.40,In stock
Vampire Girl (Vampire Girl ...,Two,£53.82,In stock
Twenty Love Poems and ...,Four,£30.95,In stock
Travels with Charley: In ...,Five,£57.82,In stock
Three Wishes (River of ...,Two,£44.18,In stock
This One Moment (Pushing ...,One,£48.71,In stock
The Zombie Room,Five,£19.69,In stock
The Wicked + The ...,Two,£36.52,In stock
The Tumor,Five,£41.56,In stock
The Story of Hong ...,Four,£43.19,In stock
The Silent Wife,Five,£12.34,In stock
The Silent Twin (Detective ...,Three,£36.25,In stock
The Selfish Gene,One,£29.45,In stock
The Secret Healer,Three,£34.56,In stock
"The Sandman, Vol. 1: ...",Three,£54.12,In stock
The Republic,Three,£33.78,In stock
The Odyssey,Three,£29.64,In stock
The No. 1 Ladies' ...,Four,£57.70,In stock
The Nicomachean Ethics,One,£36.34,In stock
The Name of the ...,Three,£50.59,In stock
The Mirror & the ...,One,£29.38,In stock
The Little Prince,Two,£45.42,In stock
The Light of the ...,One,£54.43,In stock
The Last Girl (The ...,Two,£36.26,In stock
The Iliad,One,£16.16,In stock
The Hook Up (Game ...,Five,£36.29,In stock
The Haters,Five,£27.89,In stock
The Girl You Lost,Five,£12.29,In stock
The Girl In The ...,Three,£15.85,In stock
The End of the ...,One,£14.40,In stock
The Edge of Reason ...,Four,£19.18,In stock
The Complete Maus (Maus ...,Three,£10.64,In stock
The Communist Manifesto,Three,£14.76,In stock
The Bhagavad Gita,Three,£57.49,In stock
The Bette Davis Club,Three,£30.66,In stock
The Art of Not ...,Four,£40.83,In stock
Taking Shots (Assassins #1),Two,£18.88,In stock
Starlark,Three,£25.83,In stock
"Skip Beat!, Vol. 01 ...",Three,£42.12,In stock
Sister Sable (The Mad ...,Three,£13.33,In stock
Shatter Me (Shatter Me ...,One,£42.40,In stock
Shameless,Three,£58.35,In stock
Shadow Rites (Jane Yellowrock ...,Four,£21.72,In stock
Settling the Score (The ...,Two,£44.91,In stock
Sense and Sensibility,One,£37.46,In stock
"Saga, Volume 1 (Saga ...",One,£28.48,In stock
"Rhythm, Chord & Malykhin",Two,£28.34,In stock
"Rat Queens, Vol. 1: ...",Five,£46.96,In stock
Paradise Lost (Paradise #1),One,£24.96,In stock
"Paper Girls, Vol. 1 ...",Four,£21.71,In stock
Ouran High School Host ...,Three,£29.87,In stock
Origins (Alphas 0.5),One,£28.99,In stock
One Second (Seven #7),Two,£52.94,In stock
On the Road (Duluoz ...,Three,£32.36,In stock
Old Records Never Die: ...,Two,£55.66,In stock
Off Sides (Off #1),Five,£39.45,In stock
Of Mice and Men,Two,£47.11,In stock
Myriad (Prentor #1),Four,£58.75,In stock
My Perfect Mistake (Over ...,Two,£38.92,In stock
"Ms. Marvel, Vol. 1: ...",Four,£39.39,In stock
Meditations,Two,£25.89,In stock
Matilda,One,£28.34,In stock
Lost Among the Living,Four,£27.70,In stock
Lord of the Flies,Three,£24.89,In stock
Listen to Me (Fusion ...,Three,£58.99,In stock
Kitchens of the Great ...,Five,£57.20,In stock
Jane Eyre,Five,£38.43,In stock
Imperfect Harmony,Four,£34.74,In stock
Icing (Aces Hockey #2),Four,£40.44,In stock
"Hawkeye, Vol. 1: My ...",Three,£45.24,In stock
Having the Barbarian's Baby ...,Four,£34.96,In stock
"Giant Days, Vol. 1 ...",Four,£56.76,In stock
"Fruits Basket, Vol. 1 ...",Five,£40.28,In stock
Frankenstein,Two,£38.00,In stock
Forever Rockers (The Rocker ...,Three,£28.80,In stock
Fighting Fate (Fighting #6),Three,£39.24,In stock
Emma,Two,£32.93,In stock
"Eat, Pray, Love",Three,£51.32,In stock
Deep Under (Walker Security ...,Five,£47.09,In stock
Choosing Our Religion: The ...,Four,£28.42,In stock
Charlie and the Chocolate ...,Three,£22.85,In stock
Charity's Cross (Charles Towne ...,One,£41.24,In stock
Bright Lines,Five,£39.07,In stock
Bridget Jones's Diary (Bridget ...,One,£29.82,In stock
Bounty (Colorado Mountain #7),Four,£37.26,In stock
Blood Defense (Samantha Brinkman ...,Three,£20.30,In stock
"Bleach, Vol. 1: Strawberry ...",Five,£34.65,In stock
Beyond Good and Evil,One,£43.38,In stock
Alice in Wonderland (Alice's ...,One,£55.53,In stock
"Ajin: Demi-Human, Volume 1 ...",Four,£57.06,In stock
A Spy's Devotion (The ...,Five,£16.97,In stock
1st to Die (Women's ...,One,£53.98,In stock
"1,000 Places to See ...",Five,£26.08,In stock
