Age,Fare,Income,Score,City
22.1,45.14,12434.43,68.97,Quetta
22.0,65.39,52050.95,20.0,Karachi
31.6,12.58,,86.89,Quetta
51.7,69.73,34768.47,74.89,Quetta
32.4,27.59,79781.53,94.06,Peshawar
20.0,3.21,28742.9,94.53,Karachi
32.5,2.41,53918.24,92.27,Peshawar
32.3,16.27,17787.21,83.26,Lahore
18.0,61.47,35721.7,82.81,Lahore
34.5,49.2,32143.07,94.32,Karachi
32.7,62.16,42519.39,97.86,Quetta
42.0,29.13,28038.42,84.99,Peshawar
53.5,23.21,33122.54,97.94,Peshawar
46.3,6.38,64746.38,87.04,Karachi
32.3,15.91,26749.34,82.27,Karachi
23.9,22.77,11794.59,81.91,Lahore
60.7,3.71,123588.0,79.0,Islamabad
35.6,9.97,95513.02,,Karachi
35.1,36.47,14697.26,89.6,Islamabad
34.8,53.22,58852.85,80.35,Karachi
37.0,,25537.87,85.52,Quetta
33.6,108.19,43671.07,96.9,Quetta
29.3,41.15,44620.87,99.61,Lahore
29.5,21.88,30819.86,94.98,Lahore
34.7,40.44,20980.82,91.22,Islamabad
29.6,61.61,,85.6,Karachi
27.9,5.04,19123.36,71.55,Peshawar
36.1,21.1,20286.77,,Lahore
32.5,73.25,34647.3,97.99,Peshawar
50.0,19.37,22003.75,50.35,Peshawar
18.0,,58538.3,98.28,
45.9,35.45,102854.67,90.23,Islamabad
47.5,8.16,24196.49,86.79,Karachi
18.0,17.99,42941.03,88.31,Lahore
31.6,16.29,51522.79,98.65,Peshawar
31.3,1.06,50534.0,99.12,
20.9,0.98,38298.6,98.33,Karachi
27.2,71.28,61076.21,86.79,Karachi
23.9,12.76,50897.76,88.21,Lahore
52.5,29.2,15269.86,96.01,Islamabad
44.4,14.19,66729.96,84.77,Karachi
47.7,112.99,67582.45,74.27,Lahore
42.2,12.01,21283.76,99.36,Peshawar
23.7,22.46,37292.83,89.66,Quetta
29.8,82.46,58590.64,82.47,Lahore
39.9,73.79,31366.02,95.64,Quetta
22.8,8.24,76963.35,94.48,Karachi
42.1,,189986.97,85.74,Karachi
32.6,24.51,20948.24,65.77,Lahore
31.3,26.39,13811.66,75.09,Quetta
42.1,5.73,44921.55,86.88,Karachi
39.4,3.36,60179.9,80.35,Peshawar
31.4,52.07,30896.36,93.19,Islamabad
46.6,27.44,100436.65,84.63,Islamabad
24.2,22.97,14228.13,90.58,Karachi
41.2,52.3,58985.27,96.84,Quetta
40.9,58.01,23763.29,81.85,Karachi
31.9,6.92,121002.26,87.81,Quetta
38.3,37.69,146497.08,93.34,Peshawar
22.5,5.82,21233.61,63.66,Quetta
44.2,55.67,24718.57,99.68,Karachi
33.2,42.8,66284.51,94.31,Peshawar
29.8,125.51,27695.04,99.12,Lahore
45.5,2.86,35179.27,78.18,Islamabad
28.0,2.35,36966.67,81.83,Karachi
20.9,13.26,9473.26,93.96,Karachi
19.4,12.14,35965.43,83.11,
41.1,11.35,22408.39,92.44,Peshawar
,94.69,25714.6,78.83,Lahore
52.5,11.48,99761.98,90.92,Quetta
18.0,12.7,15069.76,92.03,Lahore
52.0,56.98,64166.95,59.06,Peshawar
37.1,23.89,29873.47,95.67,Karachi
34.0,59.97,29856.8,98.07,Islamabad
29.6,2.7,63149.51,86.82,Karachi
39.0,26.74,46075.47,47.74,Quetta
34.6,1.37,54145.44,92.88,Islamabad
46.0,2.59,71519.77,99.04,Karachi
36.1,94.77,28798.66,93.78,Islamabad
36.5,6.0,23657.47,89.42,Lahore
31.4,30.41,16990.24,97.35,Peshawar
,21.18,20378.03,83.9,Karachi
38.1,17.07,286177.09,20.0,Quetta
18.0,92.04,86792.52,90.98,Lahore
21.5,0.88,,,Karachi
42.4,43.6,14389.87,92.32,Lahore
36.7,132.3,50884.12,98.17,Quetta
33.2,32.85,53267.7,67.78,Karachi
,110.47,53328.1,91.96,Quetta
38.5,2.15,30379.73,92.65,Islamabad
29.6,21.71,33262.37,83.83,Quetta
27.2,,45684.56,91.25,Islamabad
37.0,52.5,38565.95,84.33,Karachi
25.2,159.16,7680.88,99.05,Islamabad
39.1,11.86,30919.44,74.79,Karachi
18.0,42.47,20010.56,57.67,Karachi
45.3,8.83,41054.18,84.31,Peshawar
39.7,33.33,293514.2,53.63,Karachi
37.6,24.94,46968.72,97.54,
44.8,143.03,29159.3,90.27,Peshawar
51.7,37.51,69234.95,86.19,Peshawar
,17.2,50913.4,86.93,Karachi
18.0,4.85,48730.78,92.3,Quetta
22.2,6.56,55536.48,93.81,Quetta
28.8,10.21,153212.4,97.97,Peshawar
35.3,11.56,16454.89,92.54,Karachi
40.2,76.05,50591.68,97.34,Quetta
27.7,32.95,18987.44,80.12,Karachi
36.9,29.64,53576.13,96.49,Karachi
27.4,4.88,19089.99,99.09,Peshawar
28.9,78.68,27115.02,87.94,Peshawar
20.9,51.32,29538.12,86.43,Lahore
25.8,2.8,,69.17,Quetta
21.5,49.22,69072.93,87.09,Quetta
25.2,31.37,15184.0,93.64,Quetta
45.5,3.41,37739.17,75.63,Islamabad
25.5,24.52,22099.14,88.34,
61.3,,15048.7,98.76,Peshawar
39.9,7.25,31197.34,87.48,Quetta
36.8,116.53,29262.5,64.21,Lahore
26.4,75.88,198531.2,92.43,Quetta
42.0,44.23,49171.62,94.73,Karachi
29.2,24.82,13844.84,97.68,Karachi
36.2,,24456.67,97.54,Peshawar
60.6,42.1,74233.31,91.5,Islamabad
34.0,31.54,156672.03,86.42,Peshawar
46.5,2.57,11965.85,98.74,Quetta
28.0,28.74,9740.55,57.91,Lahore
34.7,65.68,,78.89,Peshawar
52.7,24.59,47702.06,,Islamabad
28.7,2.13,19775.42,,Peshawar
53.1,61.72,52798.62,98.75,Karachi
42.1,8.99,5738.63,90.28,Quetta
29.4,11.97,36401.41,85.08,Quetta
41.3,7.2,45682.69,73.54,Quetta
44.7,16.03,69354.69,77.05,Quetta
41.2,56.55,17859.18,95.13,Quetta
19.3,29.31,38560.4,57.58,Quetta
27.7,9.17,19000.16,98.01,Lahore
32.5,84.09,43424.05,68.79,Islamabad
34.3,84.67,19404.45,46.92,Quetta
41.2,81.79,27291.47,97.08,Islamabad
36.8,10.91,18086.65,,Quetta
,24.0,57285.07,99.38,Peshawar
38.8,167.96,66231.79,92.2,Quetta
41.1,59.14,30815.27,89.11,Karachi
40.6,1.1,37300.67,86.96,Lahore
45.8,2.7,,58.78,Peshawar
43.3,24.94,29443.44,83.27,Peshawar
39.6,95.97,35061.42,90.15,Karachi
34.3,30.95,227420.31,75.11,Quetta
18.4,,16674.29,54.9,Lahore
39.3,4.46,101207.09,99.67,Peshawar
37.1,42.78,72969.81,,Lahore
37.7,69.06,44198.47,98.65,Peshawar
22.2,19.15,124372.25,74.74,Quetta
24.2,59.78,47120.99,95.07,Peshawar
45.5,133.5,47686.87,97.87,Peshawar
34.6,9.11,34989.93,91.31,Islamabad
41.8,29.64,85519.37,84.51,Quetta
35.3,13.54,78239.39,92.81,Karachi
35.3,62.97,23435.94,99.16,Karachi
44.4,34.47,14422.24,86.28,Quetta
29.8,40.27,31505.38,65.1,Karachi
36.0,63.96,20743.18,92.75,Quetta
30.4,20.17,34736.03,96.34,Karachi
30.7,98.65,86353.68,91.23,Islamabad
31.9,30.46,26367.54,99.26,Karachi
37.2,6.88,35243.05,74.24,Peshawar
30.2,47.62,37820.85,73.74,Quetta
47.6,63.05,65768.85,86.7,Lahore
26.1,,7533.97,93.47,Lahore
33.1,77.85,23749.33,75.87,Quetta
30.6,94.64,42104.02,87.87,Islamabad
49.5,12.97,84124.68,73.78,Karachi
37.0,164.23,25736.57,85.03,Islamabad
45.3,6.07,9763.57,76.98,Lahore
20.1,9.03,56038.71,86.31,Quetta
37.7,8.14,23277.59,91.98,Quetta
43.9,89.77,15791.6,52.47,Islamabad
35.8,42.49,23457.8,88.32,Islamabad
45.7,6.6,31915.03,86.06,Karachi
29.8,,23781.87,96.26,Peshawar
49.1,38.21,7755.08,85.26,Peshawar
58.0,3.49,68046.48,87.28,Karachi
31.4,85.62,88646.56,96.93,Peshawar
30.5,65.1,57300.54,99.08,Lahore
49.5,28.14,16376.78,86.09,Peshawar
50.8,136.6,31538.24,78.36,Karachi
29.8,21.63,36150.1,88.88,Peshawar
30.8,165.68,55224.17,96.14,Quetta
32.2,44.1,57979.13,83.53,Islamabad
21.6,40.28,21721.95,98.75,Lahore
25.8,7.26,38460.88,91.25,Quetta
25.0,85.46,50015.9,97.32,Quetta
27.3,22.31,100616.91,96.94,Karachi
34.7,7.08,59465.68,96.61,Islamabad
37.3,,63091.4,92.67,Islamabad
50.5,32.82,38510.21,99.21,Lahore
25.0,29.98,97472.09,92.39,Karachi
44.8,50.83,48379.62,89.25,
32.9,88.38,19875.41,90.1,
34.5,3.31,96989.59,92.76,Quetta
,52.6,59191.44,72.59,Lahore
23.8,8.3,26632.01,97.64,Quetta
,78.13,25961.11,89.43,Karachi
36.7,68.38,,99.04,Peshawar
39.9,31.13,50223.05,98.89,Karachi
37.9,49.55,41693.67,87.2,Peshawar
59.6,15.1,,87.48,Peshawar
28.6,25.48,119368.44,68.44,Quetta
29.7,68.96,76886.09,87.76,Karachi
,24.59,41499.84,51.8,Karachi
29.4,17.71,70186.93,99.25,Lahore
28.6,27.27,17627.81,98.45,Karachi
46.9,70.47,47980.45,,Lahore
49.2,,128864.2,96.93,Islamabad
29.3,,31174.88,88.31,Islamabad
26.7,49.79,20063.47,84.44,Islamabad
39.7,69.94,23006.63,99.3,Karachi
29.5,4.24,16937.02,56.23,Karachi
41.3,10.97,20966.2,72.31,Lahore
37.0,6.12,28019.17,94.72,Peshawar
19.8,17.1,13576.6,98.8,Lahore
50.5,23.94,36714.71,97.21,Islamabad
53.0,55.26,68295.15,97.96,Lahore
28.9,42.12,19236.61,98.03,Peshawar
31.1,38.8,105187.39,89.04,Karachi
37.9,17.38,51924.94,95.77,Lahore
38.3,73.67,74712.78,93.35,Islamabad
41.6,25.49,,,Islamabad
55.1,154.73,66050.02,82.7,Karachi
33.2,40.22,16909.76,55.37,Lahore
27.0,5.4,67722.47,,Peshawar
21.2,45.1,40957.39,92.78,Karachi
27.7,15.73,53491.38,87.86,Lahore
34.7,46.38,,98.8,Quetta
52.9,2.89,19408.2,99.94,Islamabad
29.8,7.69,55163.66,83.35,Peshawar
37.2,77.44,18697.71,84.6,Peshawar
34.8,10.31,50223.81,92.07,Peshawar
46.9,72.57,13946.77,89.91,Islamabad
60.3,13.1,65757.04,91.95,Lahore
29.7,41.19,15324.89,99.64,Karachi
30.1,47.39,53455.78,93.87,Lahore
45.4,28.75,56271.4,97.08,Karachi
41.8,14.57,22298.17,98.45,Peshawar
53.5,9.56,54579.77,52.9,Lahore
40.8,1.35,43578.08,86.28,Peshawar
31.4,14.49,24904.67,80.43,Quetta
40.9,42.36,17926.08,94.32,Peshawar
46.1,111.42,9192.67,92.51,Peshawar
43.2,81.98,46386.1,95.94,Karachi
40.1,58.11,12144.58,98.47,Quetta
45.7,62.13,38821.94,97.04,Peshawar
46.7,43.74,30199.67,76.04,Peshawar
48.8,12.06,58419.2,83.02,Quetta
41.5,95.09,29394.66,88.12,Quetta
33.3,44.44,28836.19,90.33,Lahore
36.5,32.88,60615.72,61.65,Karachi
47.1,4.71,45914.7,98.87,Quetta
26.8,23.7,45311.18,95.06,Quetta
38.7,24.67,50437.35,93.54,Islamabad
31.1,,12395.63,77.12,Quetta
35.3,31.64,,26.58,Karachi
47.8,19.15,55755.32,95.87,Peshawar
36.9,150.54,17824.37,68.89,Peshawar
35.5,4.69,30611.89,73.37,Peshawar
21.4,21.97,35329.9,96.18,Peshawar
42.5,1.72,33052.49,92.35,Islamabad
41.5,53.87,45876.21,92.09,Quetta
56.6,100.08,98909.12,42.6,Peshawar
31.9,13.14,77438.3,97.01,Lahore
37.2,78.17,14493.37,75.92,Peshawar
37.5,13.82,56131.31,93.9,Quetta
50.8,96.66,92065.29,80.31,Peshawar
34.0,56.09,47608.47,91.83,Islamabad
37.8,65.37,77939.35,87.05,Karachi
41.1,0.73,148536.99,73.19,Karachi
36.9,131.67,74354.29,75.54,Quetta
30.5,,43239.77,69.8,Karachi
36.9,14.54,75475.39,99.08,Karachi
45.7,70.74,40191.93,82.33,Lahore
24.7,13.22,36928.25,97.74,Quetta
36.3,82.47,28396.18,91.94,Quetta
28.0,4.78,108487.4,88.07,Karachi
47.0,48.65,20477.87,92.27,Karachi
19.8,31.12,106155.2,89.0,Karachi
29.4,4.06,51529.25,20.0,Islamabad
38.8,11.08,13636.23,97.82,Peshawar
50.7,0.5,46974.23,83.12,Islamabad
34.3,25.3,8349.7,92.44,Quetta
29.4,,56266.56,97.86,Lahore
53.8,36.49,67485.1,97.41,Peshawar
20.5,14.11,23989.0,55.28,Lahore
18.0,14.26,39596.0,68.25,Quetta
39.4,54.38,142615.89,64.37,Quetta
30.0,1.97,25488.36,28.43,Lahore
24.8,93.28,17305.24,96.5,
42.1,76.49,102453.51,93.41,Lahore
37.4,44.08,143459.93,83.41,Quetta
29.4,35.98,36409.57,90.08,Karachi
22.2,89.14,73719.61,91.87,Lahore
43.7,8.2,92877.17,93.36,Peshawar
41.5,3.29,21595.95,86.49,Quetta
34.0,10.95,25855.69,87.14,Islamabad
53.5,63.31,85957.83,97.36,Islamabad
24.3,1.41,118126.34,90.43,Peshawar
19.7,34.97,53853.17,87.91,Karachi
28.1,215.6,19616.57,87.33,Lahore
34.5,77.43,145938.82,96.46,Quetta
37.4,29.48,25042.27,79.66,Lahore
32.6,2.63,28721.57,99.62,Quetta
38.5,71.2,46149.27,93.43,Islamabad
22.5,36.55,107787.0,77.27,Lahore
49.4,4.88,66024.63,87.55,Peshawar
34.2,3.94,48552.74,95.46,Karachi
46.2,96.15,50226.7,82.19,Peshawar
38.4,44.25,37438.7,87.43,Karachi
39.6,70.71,53674.73,76.14,Lahore
40.7,84.47,6181.45,80.08,Lahore
39.5,33.92,29506.76,85.87,Karachi
41.4,29.15,42998.71,89.95,Islamabad
48.3,22.51,16224.7,97.86,Quetta
37.0,15.25,47592.3,95.46,Peshawar
42.1,22.81,31472.52,91.85,Peshawar
34.1,59.47,124098.76,86.28,Peshawar
,36.84,109219.38,89.19,Lahore
28.2,89.22,26211.04,94.9,Peshawar
53.0,23.43,32676.57,99.9,Quetta
34.6,37.37,34483.52,89.72,Quetta
20.7,39.91,26471.88,94.95,Karachi
,35.83,41627.55,,Lahore
28.2,48.51,21358.45,99.64,Quetta
43.4,10.84,16458.04,86.81,Islamabad
28.5,28.73,56156.51,57.43,Lahore
30.5,4.4,56425.18,97.13,Lahore
18.0,19.41,20681.17,90.43,Quetta
30.5,26.75,67965.04,98.56,Islamabad
18.0,42.25,23339.34,85.26,Karachi
19.2,120.26,43356.66,88.0,Quetta
42.6,36.72,64488.41,92.15,Islamabad
42.9,54.44,35471.02,88.95,Lahore
39.3,28.23,49927.07,65.97,Islamabad
25.3,40.22,25298.47,96.72,Lahore
34.5,2.94,31649.37,99.66,Quetta
35.0,11.74,31441.95,70.33,Quetta
23.4,,21534.15,87.09,
50.0,25.58,32088.66,66.8,Peshawar
43.8,1.87,12282.95,86.37,Peshawar
32.8,,25750.06,75.08,Quetta
35.3,12.96,29750.08,91.58,Karachi
37.1,142.36,30353.71,79.21,Quetta
18.0,16.1,30667.29,63.37,Islamabad
32.5,26.31,34778.86,87.27,Quetta
28.2,8.73,50797.84,97.01,Quetta
25.0,37.74,66980.84,95.3,Lahore
32.2,13.18,23044.08,96.68,Lahore
,9.28,15642.7,95.75,Lahore
41.4,29.07,17510.73,94.51,Quetta
29.3,0.22,25821.38,87.85,Karachi
40.7,0.31,,86.7,Islamabad
